OMR20;EJKAT20;PRIS20;TID;INDHOLD
Hele landet;Parcel-/rækkehus;Første udbudspris;1992K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1992K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1992K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1992K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1993K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1993K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1993K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1993K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1994K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1994K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1994K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1994K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1995K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1995K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1995K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1995K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1996K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1996K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1996K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1996K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1997K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1997K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1997K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1997K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1998K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1998K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1998K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1998K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1999K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1999K2;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1999K3;..
Hele landet;Parcel-/rækkehus;Første udbudspris;1999K4;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2000K1;..
Hele landet;Parcel-/rækkehus;Første udbudspris;2000K2;..
